customer_id,segment,recency_days,frequency_180d,monetary_180d,ticket_count_90d,return_rate_180d,campaign_clicks_30d,sessions_30d,churn_next_60d
CUST00052,Potential Loyalists,55,2,1820.53,0,0.0,0,7,1
CUST00053,Champions,25,3,2063.87,1,0.0,1,9,0
CUST00054,Potential Loyalists,6,1,489.85,0,0.0,0,3,0
CUST00055,Champions,3,3,1308.35,0,0.0,2,6,0
CUST00056,Champions,9,3,3150.69,1,0.0,0,3,0
CUST00057,Hibernating,136,1,1713.34,0,0.0,1,7,1
CUST00058,Potential Loyalists,42,1,644.61,0,0.0,4,2,0
CUST00059,Potential Loyalists,2,2,1447.55,0,0.0,0,3,0
CUST00060,Hibernating,145,1,293.22,0,0.0,0,5,1
CUST00061,Champions,14,3,1632.4,1,0.0,1,4,0
CUST00062,Champions,21,3,2295.98,0,0.0,1,9,0
CUST00063,Hibernating,216,0,0.0,0,0.0,0,0,1
CUST00064,Potential Loyalists,2,1,654.93,0,0.0,0,8,0
CUST00065,Potential Loyalists,6,1,1911.67,0,0.0,2,3,0
CUST00066,Hibernating,320,0,0.0,0,0.0,1,11,1
CUST00067,Potential Loyalists,63,2,1246.44,1,0.5,2,1,1
CUST00068,Hibernating,346,0,0.0,0,0.0,1,5,1
CUST00069,Potential Loyalists,29,2,874.47,0,0.0,1,9,1
CUST00070,Potential Loyalists,38,1,542.98,0,0.0,0,1,1
CUST00071,Potential Loyalists,32,1,2062.5,1,0.0,2,1,1
CUST00072,Hibernating,90,2,1697.84,0,0.0,1,7,1
CUST00073,Potential Loyalists,8,2,1150.72,0,0.0,1,7,0
CUST00074,Potential Loyalists,7,1,824.34,1,1.0,1,14,0
CUST00075,Champions,3,3,1287.45,0,0.0,0,10,0
CUST00076,Potential Loyalists,20,2,1385.27,0,0.0,0,17,0
CUST00077,Hibernating,109,1,394.32,0,0.0,0,0,1
CUST00078,Hibernating,139,1,894.45,0,1.0,0,5,1
CUST00079,Hibernating,191,0,0.0,0,0.0,0,2,1
CUST00080,Potential Loyalists,50,1,1461.68,0,0.0,0,11,0
CUST00081,Champions,19,5,3417.32,0,0.0,0,12,0
CUST00082,Hibernating,254,0,0.0,0,0.0,3,7,1
CUST00083,Hibernating,89,2,806.87,1,0.5,0,9,1
CUST00084,Hibernating,167,1,1273.18,0,0.0,1,11,1
CUST00085,Potential Loyalists,14,1,1257.8,0,0.0,0,8,1
CUST00086,Champions,21,4,1741.15,1,0.0,2,7,0
CUST00087,Potential Loyalists,44,1,933.58,0,0.0,0,1,0
CUST00088,Hibernating,98,2,1169.14,0,0.0,0,9,1
CUST00089,Hibernating,165,1,1513.5,0,0.0,3,12,1
CUST00090,At Risk,80,4,1966.31,0,0.0,0,5,0
CUST00091,Hibernating,90,1,311.34,0,0.0,0,9,0
CUST00092,Potential Loyalists,21,1,430.85,0,0.0,0,1,0
CUST00093,Hibernating,85,1,759.64,0,0.0,4,16,1
CUST00094,Hibernating,183,0,0.0,0,0.0,1,6,1
CUST00095,Potential Loyalists,65,1,372.65,1,0.0,1,10,1
CUST00096,Potential Loyalists,61,2,1414.75,0,0.5,0,12,0
CUST00097,Champions,1,3,2946.09,0,0.0,0,0,0
CUST00098,Hibernating,184,0,0.0,0,0.0,0,8,1
CUST00099,Hibernating,144,2,1471.51,0,0.0,2,4,0
CUST00100,Hibernating,70,1,372.37,0,0.0,0,1,0
CUST00101,Hibernating,108,2,1240.21,0,0.0,0,2,1
CUST00102,Hibernating,83,1,732.65,0,0.0,0,2,0
CUST00103,Potential Loyalists,21,1,1469.96,0,0.0,1,6,0
CUST00104,Hibernating,93,1,955.63,0,0.0,0,3,1
CUST00105,Potential Loyalists,46,1,2052.43,0,0.0,0,1,0
CUST00106,Potential Loyalists,61,1,436.15,0,0.0,0,5,1
CUST00107,Potential Loyalists,12,2,1658.13,0,0.0,0,2,0
CUST00108,Potential Loyalists,44,1,1074.5,1,1.0,0,5,1
CUST00109,Hibernating,92,2,1622.28,0,0.0,1,1,0
CUST00110,Loyal Customers,35,3,2424.8,2,0.0,0,4,1
CUST00111,Hibernating,178,1,1135.09,0,0.0,0,3,1
CUST00112,Champions,0,4,2225.98,0,0.0,0,4,0
CUST00113,Potential Loyalists,28,2,1601.31,0,0.0,0,17,0
CUST00114,Hibernating,239,0,0.0,0,0.0,1,3,1
CUST00115,Hibernating,159,1,596.54,0,0.0,2,12,1
CUST00116,Hibernating,143,1,452.08,0,0.0,2,10,1
CUST00117,Hibernating,123,2,1268.88,0,0.0,0,2,1
CUST00118,Potential Loyalists,27,1,689.56,0,0.0,0,2,0
CUST00119,Hibernating,69,1,2019.98,1,0.0,0,12,0
CUST00120,Potential Loyalists,26,1,261.95,0,0.0,0,6,0
CUST00121,Potential Loyalists,27,2,2496.03,0,0.0,1,5,0
CUST00122,Hibernating,106,2,2048.93,0,0.0,4,10,1
CUST00123,At Risk,102,4,2117.52,0,0.0,0,2,0
CUST00124,Hibernating,194,0,0.0,0,0.0,0,5,1
CUST00125,Potential Loyalists,8,2,1698.4,0,0.0,1,0,0
CUST00126,Potential Loyalists,57,1,919.95,0,0.0,0,5,1
CUST00127,Potential Loyalists,24,2,729.55,0,0.0,0,3,0
CUST00128,Potential Loyalists,19,2,1716.68,0,0.0,0,15,0
CUST00129,At Risk,83,3,3369.08,1,0.333,0,7,0
CUST00130,Hibernating,88,1,1272.47,0,0.0,0,9,0
CUST00131,Hibernating,67,1,2157.15,0,0.0,0,4,1
CUST00132,Hibernating,117,1,1621.76,0,0.0,0,1,1
CUST00133,Loyal Customers,54,6,4776.26,0,0.0,1,5,0
CUST00134,Potential Loyalists,35,2,1527.11,0,0.5,0,11,0
CUST00135,Hibernating,333,0,0.0,0,0.0,1,3,1
CUST00136,Hibernating,71,1,514.9,0,0.0,0,7,1
CUST00137,Hibernating,177,2,1035.87,0,0.0,0,4,1
CUST00138,Potential Loyalists,61,1,905.11,0,0.0,1,5,0
CUST00139,Potential Loyalists,28,2,1715.4,2,0.0,0,5,0
CUST00140,Champions,6,3,3416.05,1,0.0,0,14,0
CUST00141,Potential Loyalists,28,1,647.85,0,0.0,1,4,0
CUST00142,Hibernating,169,1,369.26,0,0.0,0,2,1
CUST00143,Loyal Customers,32,3,4028.8,0,0.0,1,5,0
CUST00144,Hibernating,86,2,928.58,1,0.0,2,8,0
CUST00145,Potential Loyalists,30,1,502.35,0,0.0,0,0,1
CUST00146,Hibernating,108,1,986.21,0,0.0,1,4,0
CUST00147,At Risk,84,3,2809.32,0,0.0,0,1,0
CUST00148,Champions,4,3,1990.51,0,0.0,1,5,0
CUST00149,Potential Loyalists,8,1,787.94,0,0.0,0,8,0
CUST00150,Potential Loyalists,45,2,1008.65,0,0.0,2,6,0
CUST00151,Loyal Customers,62,3,2844.17,0,0.0,0,7,0
CUST00152,Loyal Customers,46,3,2730.26,3,0.0,3,19,0
CUST00153,Potential Loyalists,3,1,977.12,0,0.0,0,6,0
CUST00154,Champions,10,4,3935.38,0,0.0,0,8,0
CUST00155,Champions,2,3,2024.8,0,0.0,0,6,0
CUST00156,Potential Loyalists,34,2,4241.75,1,0.5,0,14,0
CUST00157,Potential Loyalists,0,1,376.83,0,0.0,1,3,1
CUST00158,Hibernating,155,1,812.34,0,0.0,1,8,1
CUST00159,Hibernating,474,0,0.0,0,0.0,0,0,1
CUST00160,Hibernating,177,1,433.18,0,0.0,0,4,1
CUST00161,Champions,20,3,1738.05,0,0.0,1,7,0
CUST00162,Hibernating,91,2,1194.59,0,0.0,0,2,1
CUST00163,Hibernating,70,1,275.41,0,0.0,2,3,0
CUST00164,Hibernating,222,0,0.0,0,0.0,0,1,1
CUST00165,At Risk,103,3,1825.77,0,0.0,0,2,0
CUST00166,Potential Loyalists,15,1,1269.41,1,0.0,0,1,0
CUST00167,Hibernating,219,0,0.0,0,0.0,1,0,1
CUST00168,Hibernating,85,2,2194.93,0,0.0,0,2,0
CUST00169,Hibernating,222,0,0.0,0,0.0,0,1,1
CUST00170,Potential Loyalists,9,2,1708.22,0,0.0,0,5,0
CUST00171,Potential Loyalists,12,1,1077.78,0,0.0,0,9,0
CUST00172,Potential Loyalists,8,1,1366.0,1,0.0,2,5,0
CUST00173,Hibernating,79,1,225.12,0,0.0,0,10,0
CUST00174,Hibernating,86,1,168.97,0,0.0,0,14,0
CUST00175,Potential Loyalists,59,2,1378.77,0,0.0,0,5,1
CUST00176,Loyal Customers,37,3,3830.31,0,0.0,0,12,0
CUST00177,Hibernating,82,1,255.04,0,0.0,0,12,0
CUST00178,Potential Loyalists,5,2,1583.88,2,1.0,0,10,0
CUST00179,Loyal Customers,38,3,1585.62,2,0.0,2,11,0
CUST00180,Hibernating,96,2,1570.85,0,0.5,0,9,1
CUST00181,Potential Loyalists,6,1,1107.73,0,0.0,1,7,0
CUST00182,Potential Loyalists,31,1,305.3,0,0.0,0,12,0
CUST00183,Hibernating,152,1,1689.98,0,0.0,1,1,1
CUST00184,Champions,14,3,2456.91,0,0.0,0,6,1
CUST00185,Hibernating,114,2,866.52,0,0.0,1,11,0
CUST00186,Potential Loyalists,41,1,714.65,1,0.0,0,2,0
CUST00187,Hibernating,149,1,491.11,0,0.0,1,0,0
CUST00188,Potential Loyalists,29,2,1880.31,1,0.0,0,11,1
CUST00189,Hibernating,140,1,574.39,0,0.0,0,10,0
CUST00190,Potential Loyalists,6,1,482.88,1,0.0,0,6,0
CUST00191,Potential Loyalists,28,1,149.0,0,0.0,0,6,0
CUST00192,Loyal Customers,55,3,2263.95,0,0.0,1,8,0
CUST00193,Hibernating,157,1,424.74,0,0.0,2,3,1
CUST00194,At Risk,80,3,2967.67,1,0.333,3,13,0
CUST00195,Potential Loyalists,23,1,654.27,1,0.0,0,5,0
CUST00196,Potential Loyalists,24,2,1272.38,1,0.0,0,1,1
CUST00197,Potential Loyalists,15,2,2989.16,1,0.0,0,11,0
CUST00198,Loyal Customers,37,4,4324.83,0,0.0,1,1,0
CUST00199,Champions,6,4,3273.56,1,0.0,0,3,0
CUST00200,Champions,15,3,3726.66,0,0.0,4,7,0
CUST00201,Hibernating,93,1,598.21,1,0.0,0,3,1
CUST00202,Hibernating,141,1,1220.26,0,0.0,1,9,0
CUST00203,Hibernating,114,2,743.35,0,0.0,0,6,1
CUST00204,Potential Loyalists,42,1,519.21,0,0.0,0,17,0
CUST00205,Loyal Customers,30,3,1548.05,0,0.0,0,13,0
CUST00206,Hibernating,118,2,831.29,0,0.0,2,7,1
CUST00207,Potential Loyalists,18,1,193.1,0,0.0,2,11,1
CUST00208,At Risk,91,4,3282.3,1,0.0,1,2,1
CUST00209,Hibernating,279,0,0.0,0,0.0,0,3,1
CUST00210,Hibernating,128,1,409.67,0,0.0,0,3,1
CUST00211,Hibernating,90,2,3032.55,0,0.0,0,4,0
CUST00212,Hibernating,204,0,0.0,0,0.0,1,3,1
CUST00213,Hibernating,86,1,1266.34,1,1.0,0,2,1
CUST00214,Potential Loyalists,64,1,1427.16,0,0.0,0,3,1
CUST00215,Potential Loyalists,34,1,646.51,0,0.0,2,8,1
CUST00216,Potential Loyalists,48,1,1349.42,1,1.0,0,7,1
CUST00217,Hibernating,79,2,861.18,0,0.0,0,2,1
CUST00218,Potential Loyalists,23,1,713.95,0,0.0,0,1,0
CUST00219,Hibernating,154,2,1225.24,0,0.0,1,3,1
CUST00220,Potential Loyalists,25,2,745.67,1,0.0,2,14,0
CUST00221,Potential Loyalists,7,2,781.03,0,0.0,2,16,0
CUST00222,Hibernating,186,0,0.0,0,0.0,0,1,1
CUST00223,Hibernating,103,1,757.58,0,0.0,0,1,1
CUST00224,Hibernating,89,1,747.2,0,0.0,1,1,0
CUST00225,Hibernating,88,2,2563.85,0,0.0,0,3,1
CUST00226,Loyal Customers,54,3,2345.42,1,0.333,0,6,0
CUST00227,Hibernating,153,1,1070.42,0,0.0,0,0,1
CUST00228,At Risk,82,3,1343.2,0,0.0,2,6,1
CUST00229,Hibernating,92,1,558.95,0,0.0,0,8,1
CUST00230,Loyal Customers,37,6,6235.96,0,0.0,1,17,0
CUST00231,Potential Loyalists,23,1,397.92,0,0.0,0,6,0
CUST00232,Potential Loyalists,55,1,786.26,0,0.0,0,2,0
CUST00233,Hibernating,361,0,0.0,0,0.0,1,5,1
CUST00234,Potential Loyalists,17,2,1421.1,0,0.0,0,6,0
CUST00235,Hibernating,125,1,556.26,0,0.0,0,2,0
CUST00236,Potential Loyalists,62,1,782.89,1,0.0,0,8,0
CUST00237,Champions,15,4,3607.29,0,0.0,1,8,0
CUST00238,Hibernating,78,1,643.9,1,0.0,0,1,0
CUST00239,Hibernating,320,0,0.0,0,0.0,0,4,1
CUST00240,Potential Loyalists,56,2,2277.31,1,0.0,0,4,0
CUST00241,Potential Loyalists,6,2,2710.93,0,0.0,1,12,0
CUST00242,At Risk,82,3,2195.42,0,0.0,5,11,0
CUST00243,Hibernating,69,1,444.6,1,1.0,0,3,1
CUST00244,Hibernating,144,2,2449.86,0,0.0,0,1,1
CUST00245,Hibernating,73,2,1245.78,0,0.0,4,6,0
CUST00246,Potential Loyalists,52,2,852.1,1,0.0,1,6,0
CUST00247,Potential Loyalists,57,2,937.32,0,0.0,2,5,1
CUST00248,At Risk,71,3,1182.12,0,0.0,0,2,0
CUST00249,Hibernating,162,1,244.33,0,0.0,1,5,1
CUST00250,Potential Loyalists,35,1,837.19,0,0.0,0,6,0
CUST00251,Potential Loyalists,41,1,966.73,1,1.0,0,14,1
CUST00252,Hibernating,190,0,0.0,0,0.0,2,4,1
CUST00253,Hibernating,191,0,0.0,0,0.0,1,3,1
CUST00254,Hibernating,183,0,0.0,0,0.0,1,4,1
CUST00255,Champions,22,4,2792.14,1,0.25,1,10,0
CUST00256,Hibernating,181,0,0.0,0,0.0,0,1,1
CUST00257,Potential Loyalists,55,2,1042.47,0,0.0,0,7,0
CUST00258,Loyal Customers,42,3,2284.5,0,0.0,0,7,0
CUST00259,Hibernating,192,0,0.0,0,0.0,0,0,1
CUST00260,Potential Loyalists,2,2,1820.81,0,0.0,0,7,0
CUST00261,Potential Loyalists,51,1,350.44,0,0.0,0,0,0
CUST00262,Potential Loyalists,9,2,1318.44,0,0.0,0,5,0
CUST00263,Champions,25,3,1618.39,2,0.667,2,15,0
CUST00264,Potential Loyalists,31,2,671.1,1,0.0,1,7,1
CUST00265,Hibernating,77,1,510.24,0,0.0,0,7,0
CUST00266,Hibernating,158,2,2193.55,0,0.5,0,1,1
CUST00267,Potential Loyalists,29,1,441.97,1,0.0,0,8,1
CUST00268,Potential Loyalists,9,2,1517.09,1,0.0,1,6,0
CUST00269,Loyal Customers,30,3,2563.93,0,0.0,1,11,0
CUST00270,Hibernating,75,2,968.72,0,0.0,2,8,0
CUST00271,Potential Loyalists,32,2,1421.17,0,0.0,0,1,0
CUST00272,Champions,12,5,3882.03,0,0.0,0,7,0
CUST00273,Champions,13,5,4433.41,0,0.0,1,7,0
CUST00274,Hibernating,71,1,695.0,0,0.0,0,1,0
CUST00275,Hibernating,241,0,0.0,0,0.0,1,5,1
CUST00276,Potential Loyalists,47,2,3495.3,0,0.0,1,9,0
CUST00277,Potential Loyalists,2,1,304.61,0,0.0,0,2,0
CUST00278,Hibernating,69,1,339.56,1,0.0,0,7,1
CUST00279,Champions,12,3,2035.77,0,0.0,2,9,0
CUST00280,Potential Loyalists,10,2,1858.49,0,0.0,0,6,0
CUST00281,Potential Loyalists,35,2,1161.06,0,0.0,0,3,1
CUST00282,Hibernating,296,0,0.0,0,0.0,0,1,1
CUST00283,Champions,18,3,2546.58,1,0.0,0,8,0
CUST00284,Hibernating,291,0,0.0,0,0.0,1,1,1
CUST00285,Potential Loyalists,13,2,1070.21,0,0.0,0,10,0
CUST00286,Hibernating,369,0,0.0,0,0.0,1,1,1
CUST00287,Hibernating,69,2,2536.41,0,0.0,1,8,0
CUST00288,Hibernating,110,2,1096.1,0,0.0,0,1,1
CUST00289,Potential Loyalists,5,2,811.06,0,0.0,0,5,0
CUST00290,Potential Loyalists,9,1,251.16,1,0.0,0,6,0
CUST00291,Potential Loyalists,58,1,1708.29,1,0.0,1,4,1
CUST00292,Potential Loyalists,43,1,657.91,1,1.0,2,6,0
CUST00293,Hibernating,230,0,0.0,0,0.0,0,3,1
CUST00294,Hibernating,102,1,1714.42,0,0.0,6,15,0
CUST00295,Potential Loyalists,16,1,556.31,0,0.0,0,2,0
CUST00296,Hibernating,132,1,560.55,0,0.0,0,2,1
CUST00297,Hibernating,154,1,1130.29,0,0.0,2,13,1
CUST00298,Hibernating,201,0,0.0,0,0.0,2,6,1
CUST00299,Hibernating,343,0,0.0,0,0.0,0,0,1
CUST00300,Potential Loyalists,5,1,459.9,0,0.0,0,5,0
CUST00301,Potential Loyalists,9,2,1279.6,1,0.0,0,7,0
CUST00302,Hibernating,148,2,1740.35,0,0.5,2,4,1
CUST00303,Potential Loyalists,48,2,1965.56,0,0.0,1,6,0
CUST00304,Hibernating,87,2,1687.98,0,0.0,3,4,1
CUST00305,Hibernating,166,1,531.59,0,0.0,0,6,1
CUST00306,Champions,19,3,2579.16,1,0.0,2,2,0
CUST00307,Potential Loyalists,32,1,307.42,1,1.0,0,0,1
CUST00308,Potential Loyalists,66,2,1535.15,0,0.0,1,7,0
CUST00309,Potential Loyalists,8,1,1014.02,0,0.0,1,13,1
CUST00310,Potential Loyalists,22,1,578.27,1,1.0,0,5,0
CUST00311,Potential Loyalists,48,1,1336.82,0,0.0,0,4,1
CUST00312,Potential Loyalists,64,1,486.27,0,0.0,0,9,1
CUST00313,Hibernating,162,1,769.77,0,0.0,0,16,1
CUST00314,Potential Loyalists,16,1,560.98,0,0.0,0,0,1
CUST00315,Champions,17,6,6768.08,0,0.0,4,11,0
CUST00316,Hibernating,97,2,1079.82,0,0.5,2,1,1
CUST00317,Hibernating,100,1,1353.24,0,0.0,0,8,1
CUST00318,Potential Loyalists,47,2,1908.68,0,0.0,0,2,0
CUST00319,Hibernating,147,1,460.74,0,0.0,0,0,1
CUST00320,Champions,25,3,1395.26,0,0.0,1,10,0
CUST00321,Hibernating,116,2,1114.17,0,0.0,2,1,1
CUST00322,Champions,4,5,3351.86,0,0.0,0,5,0
CUST00323,Potential Loyalists,5,2,2509.86,0,0.0,0,6,0
CUST00324,Hibernating,274,0,0.0,0,0.0,0,0,1
CUST00325,Loyal Customers,44,3,3542.89,0,0.0,1,6,0
CUST00326,Hibernating,124,1,471.14,0,0.0,3,7,1
CUST00327,Potential Loyalists,2,1,367.29,0,0.0,1,7,1
CUST00328,Hibernating,322,0,0.0,0,0.0,0,2,1
CUST00329,Potential Loyalists,1,1,299.28,0,0.0,0,1,0
CUST00330,At Risk,74,3,1307.8,1,0.0,0,1,0
CUST00331,Hibernating,151,1,505.92,0,0.0,0,1,1
CUST00332,Potential Loyalists,24,2,2059.8,2,0.5,0,0,0
CUST00333,Hibernating,75,1,870.15,0,0.0,0,3,0
CUST00334,Hibernating,85,1,731.49,1,1.0,0,2,1
CUST00335,Hibernating,148,2,1328.14,0,0.0,1,7,0
CUST00336,Potential Loyalists,29,2,1156.25,0,0.0,0,5,0
CUST00337,Potential Loyalists,7,2,1887.73,1,0.0,0,2,1
CUST00338,Potential Loyalists,12,1,887.38,1,1.0,0,6,0
CUST00339,Hibernating,92,1,465.18,0,0.0,0,13,0
CUST00340,Loyal Customers,46,3,1900.4,0,0.333,1,8,0
CUST00341,Potential Loyalists,19,1,790.16,0,0.0,0,11,0
CUST00342,Potential Loyalists,1,2,2309.31,1,0.0,0,9,0
CUST00343,Hibernating,94,1,410.91,0,0.0,1,7,0
CUST00344,Hibernating,189,0,0.0,0,0.0,0,5,0
CUST00345,Champions,3,3,3946.38,0,0.0,0,15,0
CUST00346,Hibernating,72,1,494.2,0,0.0,1,13,0
CUST00347,Hibernating,184,0,0.0,0,0.0,1,8,1
CUST00348,Champions,1,3,2509.74,0,0.0,2,14,0
CUST00349,At Risk,74,3,2183.21,0,0.0,0,2,0
CUST00350,Potential Loyalists,41,1,537.51,0,0.0,0,18,0
CUST00351,Champions,9,3,2713.22,1,0.333,0,4,0
CUST00352,Potential Loyalists,27,1,1000.77,0,0.0,1,13,0
CUST00353,Hibernating,118,2,753.92,0,0.0,1,4,1
CUST00354,Potential Loyalists,36,2,1158.36,0,0.0,1,4,0
CUST00355,Hibernating,171,1,715.18,0,0.0,2,4,1
CUST00356,Champions,7,4,2192.57,0,0.0,1,10,0
CUST00357,Potential Loyalists,42,1,513.15,1,0.0,1,9,1
CUST00358,Hibernating,101,2,1523.36,0,0.0,0,4,1
CUST00359,Champions,3,3,2276.09,0,0.0,0,0,0
CUST00360,Potential Loyalists,2,1,1731.67,0,0.0,0,1,0
CUST00361,Hibernating,169,1,361.04,0,1.0,1,3,1
CUST00362,Champions,23,3,1795.3,0,0.0,0,12,0
CUST00363,Potential Loyalists,27,1,413.99,1,0.0,0,2,0
CUST00364,Hibernating,359,0,0.0,0,0.0,0,0,1
CUST00365,Hibernating,158,1,1015.06,0,0.0,0,7,1
CUST00366,Hibernating,92,2,3930.92,0,0.0,0,2,0
CUST00367,Hibernating,212,0,0.0,0,0.0,1,1,1
CUST00368,Potential Loyalists,55,1,348.81,1,1.0,0,7,1
CUST00369,Hibernating,71,1,910.05,0,0.0,1,7,1
CUST00370,Hibernating,172,1,452.14,0,0.0,1,8,1
CUST00371,Hibernating,124,1,912.11,0,0.0,0,4,1
CUST00372,Potential Loyalists,56,1,431.11,1,0.0,0,2,0
CUST00373,Hibernating,73,2,1612.89,0,0.0,1,9,1
CUST00374,Hibernating,219,0,0.0,0,0.0,3,0,1
CUST00375,Hibernating,85,2,812.45,1,0.0,0,2,1
CUST00376,Potential Loyalists,45,2,1345.22,0,0.0,0,5,1
CUST00377,At Risk,80,3,1386.54,0,0.0,0,10,1
CUST00378,Hibernating,99,1,1622.32,0,0.0,0,4,1
CUST00379,Hibernating,75,1,538.25,0,0.0,0,2,1
CUST00380,Loyal Customers,39,3,1274.45,0,0.0,0,8,0
CUST00381,Hibernating,182,0,0.0,0,0.0,0,2,1
CUST00382,Potential Loyalists,45,2,766.55,0,0.0,0,6,0
CUST00383,Champions,8,5,2977.28,1,0.2,1,14,0
CUST00384,Potential Loyalists,26,1,470.31,0,0.0,0,0,0
CUST00385,Loyal Customers,63,3,1877.75,0,0.0,1,6,0
CUST00386,Potential Loyalists,0,2,1407.41,0,0.0,2,13,0
CUST00387,Potential Loyalists,40,1,721.21,0,0.0,0,1,0
CUST00388,Potential Loyalists,37,1,528.39,0,0.0,3,6,1
CUST00389,Champions,14,5,3373.19,1,0.0,2,11,0
CUST00390,Potential Loyalists,54,2,1639.43,1,0.0,1,4,1
CUST00391,Potential Loyalists,1,2,2384.79,0,0.0,0,4,0
CUST00392,Hibernating,133,1,716.98,0,0.0,1,4,1
CUST00393,Potential Loyalists,12,2,2231.04,1,0.0,1,5,0
CUST00394,Potential Loyalists,1,1,404.19,1,0.0,0,12,0
CUST00395,Potential Loyalists,35,1,633.86,0,0.0,0,12,0
CUST00396,Champions,10,5,3031.78,1,0.0,2,10,0
CUST00397,Hibernating,79,1,1203.27,1,0.0,2,3,1
CUST00398,Champions,8,3,2505.73,1,0.0,0,11,0
CUST00399,Hibernating,262,0,0.0,0,0.0,0,3,1
CUST00400,Potential Loyalists,44,1,402.05,0,0.0,0,9,0
CUST00401,Potential Loyalists,66,1,568.99,1,0.0,0,2,0
CUST00402,Hibernating,132,1,192.19,0,0.0,1,1,1
CUST00403,Potential Loyalists,21,2,2029.32,0,0.0,1,15,0
CUST00404,Hibernating,193,0,0.0,0,0.0,1,1,1
CUST00405,Potential Loyalists,2,1,282.03,1,1.0,0,4,1
CUST00406,Champions,10,3,997.27,1,0.0,0,10,0
CUST00407,Potential Loyalists,18,1,1569.01,0,0.0,0,0,0
CUST00408,Potential Loyalists,40,1,729.14,0,0.0,1,0,0
CUST00409,Loyal Customers,58,3,1404.08,1,0.333,1,11,1
CUST00410,Potential Loyalists,1,2,1365.22,1,0.0,0,16,0
CUST00411,Hibernating,253,0,0.0,0,0.0,0,1,1
CUST00412,Hibernating,529,0,0.0,0,0.0,0,0,1
CUST00413,Potential Loyalists,26,1,220.96,1,0.0,0,16,0
